feature,shap_value,feature_value,stock,sample_idx
EMA_50,0.00022245662236239697,100.1405076558766,BEXPHARMA,4
Returns_1d,-0.00021507108782765045,0.0209600449143818,BEXPHARMA,4
BB_Position,-0.0005966001097070241,0.6911183983285282,BRACBANK,0
Volatility_60d,0.0003572989775081285,0.2658064363940053,BRACBANK,0
Returns_1d,-0.00020784959215258616,0.0002465787202563,BRACBANK,0
Log_Returns,-0.0001772760640522343,0.0002465483247202,BRACBANK,0
BB_Width,0.00016958397205297073,5.771291564007157,BRACBANK,0
MACD_Histogram,-0.00016648877839115287,0.7441347983619653,BRACBANK,0
SMA_5,0.0001483667840813317,81.668,BRACBANK,0
Returns_20d,0.00012764638408544244,-0.0118148599269183,BRACBANK,0
BB_Lower,0.00011109667766392952,77.14135421799642,BRACBANK,0
Volume_SMA_20,-0.0001043029475833472,465447.25,BRACBANK,0
SMA_5,-0.001251163596003752,92.508,BRACBANK,1
Returns_20d,-0.0007760032006167255,0.2017364657814098,BRACBANK,1
BB_Position,0.0005967289430499283,0.7366021883153969,BRACBANK,1
Volatility_30d,-0.00045526347001047403,0.2481271087170813,BRACBANK,1
SMA_200,-0.00034633261135298064,85.41234999999999,BRACBANK,1
BB_Width,-0.0003114889206965754,19.744111553916724,BRACBANK,1
BB_Lower,-0.0002904461964231738,79.57644422304163,BRACBANK,1
EMA_12,-0.00027621803056934204,91.70139500079064,BRACBANK,1
RSI_14,-0.0002730028674786217,65.89327146171698,BRACBANK,1
SMA_10,-0.00018571745548755296,92.849,BRACBANK,1
Returns_1d,0.0008209216197050473,0.03125,BRACBANK,2
Log_Returns,0.0006944927673609862,0.0307716586667536,BRACBANK,2
Returns_20d,-0.0006716623461888621,0.1217105263157896,BRACBANK,2
BB_Position,0.00041911951316227995,0.5271103169525785,BRACBANK,2
SMA_200,-0.0002820879712874734,90.2735,BRACBANK,2
RSI_14,-0.00016965323955003982,51.2358393408857,BRACBANK,2
SMA_5,0.00015867547875620075,82.03800000000001,BRACBANK,2
Volatility_30d,0.0001448722801810189,0.3396000269621214,BRACBANK,2
MACD_Histogram,8.685025794433599e-05,-0.0083911519674053,BRACBANK,2
Volatility_60d,-8.604872779676212e-05,0.3297285426031777,BRACBANK,2
SMA_200,0.0006727056073455499,114.1269,BRACBANK,3
Volatility_60d,-0.0004277992822079189,0.3154803801494346,BRACBANK,3
BB_Width,-0.0003900893724680318,28.921138435780502,BRACBANK,3
BB_Position,-0.0003828575363332559,0.1322585978551238,BRACBANK,3
MACD_Histogram,0.00038068394219317904,-1.313338691919868,BRACBANK,3
Volatility_30d,-0.00037876815664434786,0.2833248573561572,BRACBANK,3
BB_Lower,-0.0002625415370587315,97.13493078210972,BRACBANK,3
Returns_1d,0.00024332087027615973,0.0084906602736989,BRACBANK,3
Returns_20d,-0.00022623396518570233,-0.0897123794067261,BRACBANK,3
Log_Returns,0.00020221251117092818,0.0084548173615107,BRACBANK,3
BB_Position,-0.0005980436027827702,0.0151623045918446,BRACBANK,4
MACD_Histogram,0.0005500046163010384,-1.4807278255336462,BRACBANK,4
SMA_200,0.0005437211336993472,114.0794,BRACBANK,4
Volatility_60d,-0.00035037446040603933,0.31680293876604,BRACBANK,4
Returns_1d,-0.00034302274975844,-0.0149181905678538,BRACBANK,4
Log_Returns,-0.00028490611992702667,-0.0150305859978832,BRACBANK,4
Volatility_30d,-0.00024903097343955007,0.2873725700831091,BRACBANK,4
BB_Width,-0.00023711994584274304,22.96954239629588,BRACBANK,4
BB_Lower,-0.00019929482646126114,102.00172880185208,BRACBANK,4
Returns_5d,0.0001831583654025716,-0.0665754673962609,BRACBANK,4
Volatility_30d,0.0004051369021855067,0.257349752722549,BSCCL,0
SMA_50,-0.00027923539586767774,122.894,BSCCL,0
Returns_1d,-0.00025214620908153244,-0.0076935804103241,BSCCL,0
BB_Position,-0.00024240645908402445,0.4642763031173845,BSCCL,0
Volume_Ratio,-0.00022163819657085694,0.8742112326185649,BSCCL,0
Log_Returns,-0.0001698355673999815,-0.0077233286787804,BSCCL,0
Volume_SMA_20,0.00016784956167482067,532349.6,BSCCL,0
RSI_14,-0.00015862871430376204,55.1751592356688,BSCCL,0
ATR_14,0.00011015338172487143,2.950714285714287,BSCCL,0
SMA_10,-7.052015214562148e-05,122.019,BSCCL,0
BB_Position,-0.000858302085201514,0.1740972174294049,BSCCL,1
Volume_Ratio,-0.0007593668522568234,0.0961849024907055,BSCCL,1
ATR_14,0.000292187743397454,2.412142857142861,BSCCL,1
Log_Returns,-0.0002347569073388157,-0.0002097535403599,BSCCL,1
Returns_5d,-0.0001786497463583771,-0.0297170771422755,BSCCL,1
SMA_50,0.00016024699261016614,99.1764,BSCCL,1
RSI_14,-0.00014208272453801766,46.26566416040102,BSCCL,1
SMA_10,0.0001375181085263274,97.19,BSCCL,1
Volume_SMA_20,-0.00011685989827038556,500795.85,BSCCL,1
Volatility_30d,-8.752540019098557e-05,0.2446796513948782,BSCCL,1
RSI_14,-0.00032079632175018285,68.92193308550185,BSCCL,2
Volume_Ratio,0.0003024511828296465,1.1843947229322942,BSCCL,2
Returns_1d,-0.0002491768941194554,-0.0010682723123239,BSCCL,2
Volume_SMA_20,0.00021650255136123307,531147.25,BSCCL,2
Volatility_60d,-0.00021601061461081145,0.2707352566460201,BSCCL,2
SMA_10,0.00013883549167619221,101.488,BSCCL,2
EMA_50,0.00013111919777354859,97.40298332448212,BSCCL,2
Volatility_30d,0.00012445766433845937,0.2516746651494906,BSCCL,2
EMA_26,0.00011715063166960635,98.19224651949747,BSCCL,2
BB_Upper,0.0001100647338295933,106.48188312532508,BSCCL,2
BB_Position,-0.0008402004373067718,0.0279954074950183,BSCCL,3
Volume_SMA_20,-0.0005913337600361975,453287.4,BSCCL,3
Volatility_60d,0.00033057902983817436,0.2156152517999194,BSCCL,3
SMA_200,-0.00013065622584380003,169.9775,BSCCL,3
SMA_100,-0.00012714589162891795,155.1554,BSCCL,3
Log_Returns,-0.00012684676512591782,-0.008768489819946,BSCCL,3
SMA_10,0.00010919489069977034,140.366,BSCCL,3
Volatility_30d,-9.552761849262678e-05,0.2310526435404378,BSCCL,3
EMA_50,-9.125293143569967e-05,148.48780615719764,BSCCL,3
BB_Upper,-6.398813587918574e-05,147.59388960688207,BSCCL,3
Volume_SMA_20,-0.0008519829570321209,420983.45,BSCCL,4
Volume_Ratio,-0.0006926113006517501,0.0422368147726472,BSCCL,4
Volatility_30d,-0.0003670650576242388,0.2193739555656022,BSCCL,4
Returns_1d,0.00036565093708921745,0.0195287624708129,BSCCL,4
Volatility_60d,0.00033769856770896425,0.2107156091468456,BSCCL,4
Returns_5d,0.00020732106177887152,0.0315721649484534,BSCCL,4
SMA_50,0.00019930875379712353,152.44179999999997,BSCCL,4
BB_Position,-0.00014373111346338216,0.5469167098174579,BSCCL,4
ATR_14,-0.00014162752088104995,2.6721428571428567,BSCCL,4
SMA_10,0.00012853684014167753,141.747,BSCCL,4
Volume_SMA_20,-0.0020594667259217717,387752.45,CUSTOMERS,0
Volume_Ratio,-0.000578300549396063,2.096466443990231,CUSTOMERS,0
SMA_100,0.00045004149064932166,326.6428,CUSTOMERS,0
EMA_50,0.0002624703977470382,290.26734494934266,CUSTOMERS,0
SMA_5,-0.00025448924936161577,269.57,CUSTOMERS,0
SMA_50,0.0001864733992775299,294.17900000000003,CUSTOMERS,0
BB_Width,-0.00018327982784070902,23.266118035009384,CUSTOMERS,0
MACD_Signal,0.00017557879429068077,-9.934016683144046,CUSTOMERS,0
MACD_Histogram,-0.0001751582663918752,2.854152457487965,CUSTOMERS,0
RSI_14,-0.00016644122309244429,48.44146429865896,CUSTOMERS,0
Log_Returns,-0.0013941658084805743,-0.0625917299642196,CUSTOMERS,1
Returns_1d,-0.000939003761807204,-0.0606731055609921,CUSTOMERS,1
Volume_SMA_20,-0.00046937669269546834,479593.4,CUSTOMERS,1
Returns_20d,-0.0004325053426427616,-0.1390968647636873,CUSTOMERS,1
Volume_Ratio,-0.0003171420401055857,1.7699680604445347,CUSTOMERS,1
SMA_5,-0.0002907567827342918,232.916,CUSTOMERS,1
SMA_50,-0.0002137833172901167,243.0376,CUSTOMERS,1
Volatility_30d,-0.0001331033656953493,0.2987857103399555,CUSTOMERS,1
SMA_10,0.00010546513448790834,232.50400000000005,CUSTOMERS,1
BB_Width,9.502436171509443e-05,45.47385039197405,CUSTOMERS,1
Volume_SMA_20,0.000604875548905804,566613.9,CUSTOMERS,2
Volatility_60d,-0.0005880421324449205,0.3122369237707559,CUSTOMERS,2
Returns_1d,-0.00042604548364934063,0.0307346326836581,CUSTOMERS,2
SMA_10,0.00032386145564435194,237.91400000000004,CUSTOMERS,2
SMA_50,0.00030096278455830753,242.9214,CUSTOMERS,2
Volume_Ratio,-0.00029600950866530103,1.5695749786583069,CUSTOMERS,2
BB_Position,-0.00027630305406883533,1.0683262879355886,CUSTOMERS,2
EMA_50,0.00025324990488953037,241.0075222088604,CUSTOMERS,2
SMA_200,0.00023910034969569605,284.40075,CUSTOMERS,2
Log_Returns,-0.0002208485087475287,0.0302717836251026,CUSTOMERS,2
Volatility_60d,-0.0011442104429439425,0.2595355813190443,CUSTOMERS,3
Volume_SMA_20,-0.00047464866157265195,483836.1,CUSTOMERS,3
Volume_Ratio,-0.00041975224406477947,1.823206246908819,CUSTOMERS,3
Returns_20d,-0.000407650781511258,-0.0382731449085764,CUSTOMERS,3
SMA_100,0.0003313538227147895,347.1236,CUSTOMERS,3
SMA_10,0.00023988720690649204,306.401,CUSTOMERS,3
SMA_50,0.00022316162955633378,328.2636,CUSTOMERS,3
Returns_5d,-0.00020767397041526465,0.0738161559888579,CUSTOMERS,3
EMA_50,0.00020097340590892343,324.5057384991834,CUSTOMERS,3
Returns_1d,-0.00019663009137439285,0.0217201590225928,CUSTOMERS,3
Volume_SMA_20,-0.0010369682666017807,426890.25,CUSTOMERS,4
Volatility_60d,-0.0009936700304546985,0.2603161496579866,CUSTOMERS,4
SMA_5,0.00044771124000223537,300.916,CUSTOMERS,4
Volume_Ratio,-0.00040220116293321535,1.7955551807519614,CUSTOMERS,4
Returns_1d,-0.0003653956149782919,0.0251314825910391,CUSTOMERS,4
SMA_100,0.00034335210649788695,348.49089999999995,CUSTOMERS,4
SMA_10,-0.0003404689397074857,305.481,CUSTOMERS,4
Returns_20d,-0.0003284509071767111,-0.07070006035003,CUSTOMERS,4
SMA_50,0.00029304970171402633,331.039,CUSTOMERS,4
RSI_14,0.00023599087999923185,48.43870967741938,CUSTOMERS,4
Returns_1d,0.0015817287205394475,0.0287992231620373,DBBL,0
Volume_SMA_20,-0.0005228156406588114,575743.7,DBBL,0
SMA_5,0.00034248707913362526,397.002,DBBL,0
EMA_50,0.00018946820559182553,440.5353864007328,DBBL,0
SMA_10,0.00017864591328212458,405.896,DBBL,0
EMA_12,0.00014652015507391728,407.6965990057248,DBBL,0
BB_Width,-0.00013699711949742978,66.61848784026381,DBBL,0
Log_Returns,-0.00013368723153029234,0.0283923194096004,DBBL,0
BB_Position,-0.00013193627842825813,0.2550679919495544,DBBL,0
SMA_200,0.00012913593895181943,494.3883,DBBL,0
